location,iso_code,total_cases
Afghanistan,AFG,209414
Albania,ALB,333532
Algeria,DZA,271463
American Samoa,ASM,8320
Andorra,AND,47890
Angola,AGO,105277
Anguilla,AIA,3904
Antigua and Barbuda,ATG,9106
Argentina,ARG,10044957
Armenia,ARM,447308
Aruba,ABW,44044
Australia,AUS,11380700
Austria,AUT,5943417
Azerbaijan,AZE,828730
Bahamas,BHS,37491
Bahrain,BHR,696614
Bangladesh,BGD,2037871
Barbados,BRB,106645
Belarus,BLR,994037
Belgium,BEL,4727795
Belize,BLZ,70757
Benin,BEN,27999
Bermuda,BMU,18814
Bhutan,BTN,62627
Bolivia,BOL,1193970
Bonaire Sint Eustatius and Saba,BES,11804
Bosnia and Herzegovina,BIH,401729
Botswana,BWA,329758
Brazil,BRA,37076053
British Virgin Islands,VGB,7305
Brunei,BRN,279661
Bulgaria,BGR,1297243
Burkina Faso,BFA,22056
Burundi,BDI,53631
Cambodia,KHM,138719
Cameroon,CMR,124392
Canada,CAN,4600615
Cape Verde,CPV,63244
Cayman Islands,CYM,31472
Central African Republic,CAF,15367
Chad,TCD,7678
Chile,CHL,5182360
China,CHN,99109603
Colombia,COL,6360089
Comoros,COM,9001
Congo,COG,25087
Cook Islands,COK,7031
Costa Rica,CRI,1209725
Cote d'Ivoire,CIV,88208
Croatia,HRV,1269326
Cuba,CUB,1112631
Curacao,CUW,45786
Cyprus,CYP,650685
Czechia,CZE,4615945
Democratic Republic of Congo,COD,95748
Denmark,DNK,3403958
Djibouti,DJI,15690
Dominica,DMA,15760
Dominican Republic,DOM,660790
Ecuador,ECU,1057121
Egypt,EGY,515759
El Salvador,SLV,201785
Equatorial Guinea,GNQ,17130
Eritrea,ERI,10189
Estonia,EST,615433
Eswatini,SWZ,74199
Ethiopia,ETH,500014
Faeroe Islands,FRO,34658
Falkland Islands,FLK,1923
Fiji,FJI,68897
Finland,FIN,1462976
France,FRA,38538948
French Guiana,GUF,98041
French Polynesia,PYF,78055
Gabon,GAB,48981
Gambia,GMB,12598
Georgia,GEO,1827537
Germany,DEU,38221663
Ghana,GHA,171172
Gibraltar,GIB,20433
Greece,GRC,5896788
Greenland,GRL,11971
Grenada,GRD,19680
Guadeloupe,GLP,201886
Guam,GUM,50869
Guatemala,GTM,1237564
Guernsey,GGY,34991
Guinea,GIN,38267
Guinea-Bissau,GNB,8960
Guyana,GUY,73075
Haiti,HTI,34202
Honduras,HND,472219
Hungary,HUN,2195926
Iceland,ISL,209137
India,IND,44688367
Indonesia,IDN,6737606
Iran,IRN,7570743
Iraq,IRQ,2465545
Ireland,IRL,1703850
Isle of Man,IMN,38008
Israel,ISR,4801511
Italy,ITA,25603510
Jamaica,JAM,154287
Japan,JPN,33264491
Jersey,JEY,66391
Jordan,JOR,1746997
Kazakhstan,KAZ,1499224
Kenya,KEN,342932
Kiribati,KIR,5014
Kuwait,KWT,663860
Kyrgyzstan,KGZ,206708
Laos,LAO,218020
Latvia,LVA,976162
Lebanon,LBN,1232517
Lesotho,LSO,34490
Liberia,LBR,8090
Libya,LBY,507187
Liechtenstein,LIE,21432
Lithuania,LTU,1307021
Luxembourg,LUX,317367
Madagascar,MDG,67865
Malawi,MWI,88605
Malaysia,MYS,5043978
Maldives,MDV,185738
Mali,MLI,33051
Malta,MLT,117610
Marshall Islands,MHL,15649
Martinique,MTQ,229020
Mauritania,MRT,63439
Mauritius,MUS,296042
Mayotte,MYT,42004
Mexico,MEX,7470653
Micronesia (country),FSM,23948
Moldova,MDA,611050
Monaco,MCO,16119
Mongolia,MNG,1007900
Montenegro,MNE,288622
Montserrat,MSR,1403
Morocco,MAR,1272490
Mozambique,MOZ,233214
Myanmar,MMR,633947
Namibia,NAM,171156
Nauru,NRU,5247
Nepal,NPL,1001149
Netherlands,NLD,8598182
New Caledonia,NCL,80017
New Zealand,NZL,2176499
Nicaragua,NIC,15655
Niger,NER,9513
Nigeria,NGA,266598
Niue,NIU,747
North Macedonia,MKD,346852
Northern Mariana Islands,MNP,13649
Norway,NOR,1479333
Oman,OMN,399449
Pakistan,PAK,1577213
Palau,PLW,5991
Palestine,PSE,703228
Panama,PAN,1031731
Papua New Guinea,PNG,46825
Paraguay,PRY,735709
Peru,PER,4486832
Philippines,PHL,4077109
Pitcairn,PCN,4
Poland,POL,6437598
Portugal,PRT,5570473
Puerto Rico,PRI,1100123
Qatar,QAT,494737
Reunion,REU,494595
Romania,ROU,3346046
Russia,RUS,22363740
Rwanda,RWA,133172
Saint Barthelemy,BLM,5441
Saint Helena,SHN,2166
Saint Kitts and Nevis,KNA,6597
Saint Lucia,LCA,30004
Saint Martin (French part),MAF,12271
Saint Pierre and Miquelon,SPM,3415
Saint Vincent and the Grenadines,VCT,9589
Samoa,WSM,16427
San Marino,SMR,23616
Sao Tome and Principe,STP,6281
Saudi Arabia,SAU,829882
Senegal,SEN,88921
Serbia,SRB,2497248
Seychelles,SYC,50665
Sierra Leone,SLE,7760
Singapore,SGP,2230570
Sint Maarten (Dutch part),SXM,11020
Slovakia,SVK,1863590
Slovenia,SVN,1330654
Solomon Islands,SLB,24575
Somalia,SOM,27324
South Africa,ZAF,4061578
South Korea,KOR,30581499
South Sudan,SSD,18368
Spain,ESP,13770429
Sri Lanka,LKA,672034
Sudan,SDN,63829
Suriname,SUR,82467
Sweden,SWE,2698535
Switzerland,CHE,4391007
Syria,SYR,57423
Tajikistan,TJK,17786
Tanzania,TZA,42846
Thailand,THA,4728182
Timor,TLS,23419
Togo,TGO,39382
Tokelau,TKL,5
Tonga,TON,16810
Trinidad and Tobago,TTO,189296
Tunisia,TUN,1150962
Turkey,TUR,17004677
Turks and Caicos Islands,TCA,6557
Tuvalu,TUV,2779
Uganda,UGA,170409
Ukraine,UKR,5399231
United Arab Emirates,ARE,1052664
United Kingdom,GBR,24396534
United States,USA,102247392
United States Virgin Islands,VIR,24780
Uruguay,URY,1034303
Uzbekistan,UZB,251247
Vanuatu,VUT,12014
Vatican,VAT,26
Venezuela,VEN,552125
Vietnam,VNM,11526966
Wallis and Futuna,WLF,3427
Yemen,YEM,11945
Zambia,ZMB,342954
Zimbabwe,ZWE,264127
